-1.0000000, 0.0000000
-0.9962963, 0.0037037
-0.9851852, 0.0148148
-0.9666667, 0.0333333
-0.9407407, 0.0592593
-0.9074074, 0.0925926
-0.8666667, 0.1333333
-0.8185185, 0.1814815
-0.7629630, 0.2370370
-0.7000000, 0.3000000
-0.6349206, 0.3650794
-0.5730159, 0.4269841
-0.5142857, 0.4857143
-0.4587302, 0.5412698
-0.4063492, 0.5936508
-0.3571429, 0.6428571
-0.3111111, 0.6888889
-0.2682540, 0.7317460
-0.2285714, 0.7714286
-0.1920635, 0.8079365
-0.1587302, 0.8412698
-0.1285714, 0.8714286
-0.1015873, 0.8984127
-0.0777778, 0.9222222
-0.0571429, 0.9428571
-0.0396825, 0.9603175
-0.0253968, 0.9746032
-0.0142857, 0.9857143
-0.0063492, 0.9936508
-0.0015873, 0.9984127
-0.0000000, 1.0000000
